### Module positions - created on 2025-05-16 23:31
### Printed by pcb_positions plugin
## Unit = mm, Angle = deg.
## Pcb Height 0.000mm, Pcb Width 0.000mm [based on Edge bounding box]
## Side : top
## Board Aux Origin: 0.000mm ,0.000mm
# Ref         Val                 Package                       PosX       PosY       Pin1_PosX  Pin1_PosY    Rot     Side      Type
J154          Conn_01x01 D        single_pin                    132.0800   -104.1400  132.0800   -104.1400     0.0    top       SMD
J187          Conn_01x01 G        single_pin                    139.7000   -116.8400  139.7000   -116.8400     0.0    top       SMD
J146          Conn_01x01 F        single_pin                    129.5400   -114.3000  129.5400   -114.3000     0.0    top       SMD
J200          Conn_01x01 J        single_pin                    142.2400   -124.4600  142.2400   -124.4600     0.0    top       SMD
J143          Conn_01x01 C        single_pin                    129.5400   -101.6000  129.5400   -101.6000     0.0    top       SMD
J160          Conn_01x01 J        single_pin                    132.0800   -124.4600  132.0800   -124.4600     0.0    top       SMD
J185          Conn_01x01 E        single_pin                    139.7000   -106.6800  139.7000   -106.6800     0.0    top       SMD
J196          Conn_01x01 F        single_pin                    142.2400   -114.3000  142.2400   -114.3000     0.0    top       SMD
J149          Conn_01x01 I        single_pin                    129.5400   -121.9200  129.5400   -121.9200     0.0    top       SMD
J158          Conn_01x01 H        single_pin                    132.0800   -119.3800  132.0800   -119.3800     0.0    top       SMD
J163          Conn_01x01 C        single_pin                    134.6200   -101.6000  134.6200   -101.6000     0.0    top       SMD
J169          Conn_01x01 I        single_pin                    134.6200   -121.9200  134.6200   -121.9200     0.0    top       SMD
J175          Conn_01x01 E        single_pin                    137.1600   -106.6800  137.1600   -106.6800     0.0    top       SMD
